alias,canonical_brand,kind
concor,Cardex,misspelling
kardex,Cardex,misspelling
cardix,Cardex,misspelling
carvix,Carvex,misspelling
karvex,Carvex,misspelling
valtek,Valtec,misspelling
valtak,Valtec,misspelling
lisprel,Lispril,misspelling
lispryl,Lispril,misspelling
thyroxil,Thyroxel,misspelling
throxel,Thyroxel,misspelling
depakes,Depakex,misspelling
dipakex,Depakex,misspelling
profix,Profex,misspelling
brofex,Profex,misspelling
panadix,Panadex,misspelling
bandex,Panadex,misspelling
glucofformin,Glucoformin,misspelling
glocoformin,Glucoformin,misspelling
koagulex,Coagulex,misspelling
coagulix,Coagulex,misspelling
كاردكس,Cardex,arabic
فيلتوكور,Veltocor,arabic
بيسلون,Bislon XR,arabic
كاردكس بلس,Cardex Plus,arabic
مينوكارد,Menocard,arabic
برولكس,Prolix,arabic
كارفكس,Carvex,arabic
ديلانور,Dilanor,arabic
ليسبريل,Lispril,arabic
تنسوديل,Tensodel,arabic
فالتك,Valtec,arabic
سارتانكس,Sartanex,arabic
فالتك بلس,Valtec Plus,arabic
كواجولكس,Coagulex,arabic
وارفكس,Warfex,arabic
زاريليد,Xarelid,arabic
ثيروكسيل,Thyroxel,arabic
يوثيرال,Euthyral,arabic
ديباكس,Depakex,arabic
ليفكس,Levex,arabic
فيلتوفين,Veltofen,arabic
بروفكس,Profex,arabic
ديكلوريل,Diclorel,arabic
فولتركس,Volterex,arabic
فولتركس جل,Volterex Gel,arabic
بانادكس,Panadex,arabic
فيفرول,Feverol,arabic
فيفرول كيدز,Feverol Kids,arabic
أموكسيل,Amoxil-N,arabic
بيناموكس,Penamox,arabic
أزيتركس,Azitrex,arabic
زيثرولكس,Zithrolex,arabic
سيبرودكس,Ciprodex-O,arabic
فلوكساريل,Floxarel,arabic
أوميزيل,Omezel,arabic
جاسترولكس,Gastrolux,arabic
بانتوركس,Pantorex,arabic
كلوبيدكس,Clopidex,arabic
جلوكوفورمين,Glucoformin,arabic
ميتفكس,Metfex XR,arabic
دياكلكس,Diaclex MR,arabic
أتوركس,Atorex,arabic
ليبيدكس,Lipidex,arabic
روزوليكس,Rosulex,arabic
دينوفكس,Denufex,arabic
فيرابكس,Verapex,arabic
فيرابكس,Verapex SR,arabic
