alias,canonical_brand,kind
concore,Concor,misspelling
koncor,Concor,misspelling
bisocor,Concor,misspelling
conkor,Concor,misspelling
betalok,Betaloc,misspelling
dilatrind,Dilatrend,misspelling
zestrel,Zestril,misspelling
sinopryl,Sinopril,misspelling
tarej,Tareg,misspelling
diovane,Diovan,misspelling
isuptin,Isoptin,misspelling
lipitour,Lipitor,misspelling
atoor,Ator,misspelling
crestore,Crestor,misspelling
marivan,Marevan,misspelling
marevane,Marevan,misspelling
xarelt,Xarelto,misspelling
plavex,Plavix,misspelling
plaviks,Plavix,misspelling
glucophag,Glucophage,misspelling
glukophage,Glucophage,misspelling
cidophag,Cidophage,misspelling
diamicrone,Diamicron,misspelling
eltroxine,Eltroxin,misspelling
eltroksin,Eltroxin,misspelling
depakin,Depakine,misspelling
kepra,Keppra,misspelling
cataflame,Cataflam,misspelling
voltarin,Voltaren,misspelling
brufin,Brufen,misspelling
panadole,Panadol,misspelling
cetall,Cetal,misspelling
risec,Risek,misspelling
controlok,Controloc,misspelling
amoxyl,Amoxil,misspelling
emox,E-Mox,misspelling
zithromaks,Zithromax,misspelling
ciprocine,Ciprocin,misspelling
zylorик,Zyloric,misspelling
ziloric,Zyloric,misspelling
كونكور,Concor,arabic
بيسوكارد,Bisocard,arabic
بيتالوك,Betaloc,arabic
ديلاتريند,Dilatrend,arabic
كارفيد,Carvid,arabic
زيستريل,Zestril,arabic
سينوبريل,Sinopril,arabic
تاريج,Tareg,arabic
ديوفان,Diovan,arabic
كو-ديوفان,Co-Diovan,arabic
كو-تاريج,Co-Tareg,arabic
إيزوبتين,Isoptin,arabic
إيزوبتين إس آر,Isoptin SR,arabic
ليبيتور,Lipitor,arabic
أتور,Ator,arabic
كريستور,Crestor,arabic
روزوفاست,Rosuvast,arabic
ماريفان,Marevan,arabic
زاريلتو,Xarelto,arabic
بلافيكس,Plavix,arabic
كلوبيفاس,Clopivas,arabic
جلوكوفاج,Glucophage,arabic
جلوكوفاج إكس آر,Glucophage XR,arabic
سيدوفاج,Cidophage,arabic
دياميكرون,Diamicron,arabic
إلتروكسين,Eltroxin,arabic
ديباكين,Depakine,arabic
كيبرا,Keppra,arabic
تيراتام,Tiratam,arabic
كاتافلام,Cataflam,arabic
فولتارين,Voltaren,arabic
أولفين جيل,Olfen Gel,arabic
بروفين,Brufen,arabic
بانادول,Panadol,arabic
سيتال,Cetal,arabic
ريزك,Risek,arabic
جاسترازول,Gastrazole,arabic
أوميز,Omez,arabic
كنترولوك,Controloc,arabic
أموكسيل,Amoxil,arabic
إي-موكس,E-Mox,arabic
زيثروماكس,Zithromax,arabic
زيسروسين,Zisrocin,arabic
سيبروسين,Ciprocin,arabic
سيبروباي,Ciprobay,arabic
زيلوريك,Zyloric,arabic
زيمارا,Ximara,arabic
